feature,coefficient,abs_value
f_refresh_sum,0.5321472804559784,0.5321472804559784
creat_type_cd,-0.41285106545966743,0.41285106545966743
f_cat_uniq,-0.371085686074436,0.371085686074436
f_rows,-0.35526228726024556,0.35526228726024556
f_refresh_mean,-0.23190820734760953,0.23190820734760953
inter_type_cd,0.1723108123424498,0.1723108123424498
u_refreshTimes,-0.1673876326818388,0.1673876326818388
f_up_mean,0.1655328340073802,0.1655328340073802
slot_id,0.15922113830640183,0.15922113830640183
u_newsCatInterestsST_len,-0.1435429108392253,0.1435429108392253
f_up_sum,0.09929993024564988,0.09929993024564988
app_second_class,0.09287510900073763,0.09287510900073763
adv_prim_id,-0.08957568538696907,0.08957568538696907
net_type,0.08761922209506642,0.08761922209506642
ad_click_list_v003_uniq,0.08170469711400406,0.08170469711400406
ad_click_list_v003_len,0.08170469711400406,0.08170469711400406
f_dislike_sum,-0.06775379745798568,0.06775379745798568
app_score,0.06742012149646444,0.06742012149646444
f_dislike_mean,-0.06544119527928274,0.06544119527928274
f_browser_life,-0.062198629473261255,0.062198629473261255
f_browser_mode,-0.05392800262258947,0.05392800262258947
f_hour_sin,0.048855588773609175,0.048855588773609175
u_newsCatInterestsST_uniq,-0.04569542938422245,0.04569542938422245
hispace_app_tags,0.038108367668651784,0.038108367668651784
ad_click_list_v001_uniq,-0.036968428663969044,0.036968428663969044
ad_click_list_v001_len,-0.036968428663969044,0.036968428663969044
series_dev,0.036451542695228295,0.036451542695228295
u_feedLifeCycle,-0.03194223527788837,0.03194223527788837
pt_d,0.031164140342317345,0.031164140342317345
f_hour_cos,0.030535681810755513,0.030535681810755513
f_entities_len_mean,-0.023400919381085915,0.023400919381085915
ad_close_list_v002_len,0.02127841138854273,0.02127841138854273
ad_close_list_v002_uniq,0.02127841138854273,0.02127841138854273
f_peak_hour,0.01917199382649783,0.01917199382649783
series_group,0.0169165800438016,0.0169165800438016
f_phone_price_median,0.015895923332846854,0.015895923332846854
gender,-0.01577483065130018,0.01577483065130018
t_wday,0.015270380346237546,0.015270380346237546
t_is_weekend,0.014498513292696167,0.014498513292696167
age,-0.014490265996064398,0.014490265996064398
ad_close_list_v003_len,-0.01183633095175092,0.01183633095175092
ad_close_list_v003_uniq,-0.01183633095175092,0.01183633095175092
device_size,-0.011500409550139215,0.011500409550139215
spread_app_id,0.010459343054863457,0.010459343054863457
adv_id,-0.009793005455566751,0.009793005455566751
emui_dev,-0.008327521873473473,0.008327521873473473
task_id,-0.007739315209085198,0.007739315209085198
ad_close_list_v001_len,-0.0076238717594945046,0.0076238717594945046
ad_close_list_v001_uniq,-0.0076238717594945046,0.0076238717594945046
user_id,-0.00609792931896645,0.00609792931896645
city_rank,0.004084220806371882,0.004084220806371882
residence,0.0037186677192134953,0.0037186677192134953
f_avg_hour,0.0028841030377131163,0.0028841030377131163
city,-0.0028636321558115525,0.0028636321558115525
ad_click_list_v002_uniq,-0.002431201800979117,0.002431201800979117
ad_click_list_v002_len,-0.002431201800979117,0.002431201800979117
device_name,0.002245193383661138,0.002245193383661138
log_id,0.0009559673436855908,0.0009559673436855908
t_hour,-0.0007018067419104149,0.0007018067419104149
site_id,0.0,0.0
